price,title,net_m2,room_count,total_floor,floor,heating,property_type,brut_m2,age,due_monthly,in_site,balcony_count,living_room_m2
5.500TL,uygun atakum mi̇marsi̇nan mah. bankalar yedaş ve carrefour yani ki̇ralik 2. kat 2+1,90 M2,2+1,4,2.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,150 TL,Hayır,,
8.000TL,atasoy gyo’dan selahi̇ye mah 2+1 ki̇ralik dai̇re,90 M2,2+1,4,3.Kat,Kombi Doğalgaz,,100 M2,21 Ve Üzeri,,Hayır,2,
9.000TL,eşyali ki̇ralik 1+1 dai̇re atakum körfez,40 M2,1+1,5,5.Kat,Kombi Doğalgaz,Eşyalı,41 M2,5-10,250 TL,Hayır,,
8.500TL,menti̇s gayri̇menkul'den yeşi̇ldere de ki̇ralik eşyali 2+1 dai̇re,100 M2,2+1,3,Kot 3 (-3).Kat,Kombi Doğalgaz,Eşyalı,120 M2,11-15,,Hayır,2,
18.000TL,ki̇ralik dai̇re 1+1 mutfak ayri eşyasiz gi̇ri̇ş kat i̇sti̇klal mahallesi̇,70 M2,1+1,5,Bahçe Katı,Kombi Doğalgaz,,80 M2,5-10,,Hayır,,
7.750TL,exper gayri̇menkulden 100. yil bulvarina cephe asansörlü 3+1 ki̇ralik dai̇re,130 M2,3+1,10,3.Kat,Kombi Doğalgaz,,135 M2,21 Ve Üzeri,150 TL,Hayır,1,
7.500TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 4. kat,150 M2,3+1,5,4.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
10.000TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 3. kat,150 M2,3+1,5,3.Kat,Kombi Doğalgaz,,160 M2,5-10,,Hayır,,
9.500TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 2. kat,150 M2,3+1,5,2.Kat,Kombi Doğalgaz,,160 M2,5-10,,Hayır,,
5.500TL,uygun atakum mevlana mah. deni̇z manzarali 140 m² net 3+1 4 balkonlu ki̇ralik dai̇re 1. kat,150 M2,3+1,5,1.Kat,Kombi Doğalgaz,,160 M2,5-10,150 TL,Hayır,,
